Date,Price,Open,High,Low,Vol
11-08-2023,609.92,617.84,622.83,608.12,9.35
14-08-2023,605.48,610.12,610.12,592.67,14.49
16-08-2023,616.85,604.83,619.44,595.46,14.56
17-08-2023,611.86,618.09,620.09,609.12,12.12
18-08-2023,613.91,610.91,618.19,609.02,11.19
21-08-2023,618.59,615.1,621.38,612.91,9.58
22-08-2023,618.29,619.89,624.57,616.7,8.53
23-08-2023,612.01,620.83,620.83,611.26,8.25
24-08-2023,609.07,616.1,617.1,607.78,7.1
25-08-2023,603.24,608.97,614.8,591.47,16.08
28-08-2023,600.55,603.54,606.63,599.7,7.48
29-08-2023,605.28,601.74,608.62,601.74,6.96
30-08-2023,603.69,609.32,611.02,603.14,5.68
31-08-2023,599.15,606.93,607.78,597.21,10.54
01-09-2023,609.32,602.34,613.01,600.05,10.3
